COMPONENT	NUMBER OF GENES	BETA	BETA_STD	SE	P	BONFERONNI	DATASET	DISEASE_NAME
421	9	0.216	0.0048	0.262	0.20533	0	CG	AD
423	22	-0.278	-0.00966	0.171	0.94822	0	CG	AD
424	16	0.375	0.0111	0.202	0.031624	0	CG	AD
431	6	0.17	0.00309	0.366	0.32074	0	CG	AD
451	17	-0.03	-0.000917	0.212	0.55631	0	CG	AD
454	26	-0.115	-0.00434	0.174	0.74609	0	CG	AD
470	4	-1.12	-0.0165	0.521	0.98401	0	CG	AD
477	20	0.205	0.00679	0.189	0.13877	0	CG	AD
482	11	0.0684	0.00168	0.276	0.40205	0	CG	AD
486	14	0.244	0.00675	0.239	0.15421	0	CG	AD
491	18	-0.218	-0.00684	0.204	0.85695	0	CG	AD
493	19	-0.162	-0.00522	0.201	0.78923	0	CG	AD
28	15	-0.0889	-0.00255	0.204	0.66816	0	FF	AD
34	17	-0.308	-0.0094	0.202	0.93629	0	FF	AD
50	10	-0.353	-0.00827	0.229	0.93845	0	FF	AD
52	15	0.16	0.00459	0.207	0.21919	0	FF	AD
61	31	0.135	0.00556	0.164	0.20493	0	FF	AD
70	14	-0.105	-0.00292	0.254	0.66131	0	FF	AD
73	10	-0.311	-0.00728	0.257	0.88673	0	FF	AD
82	11	-0.0124	-0.000305	0.218	0.52273	0	FF	AD
84	3	-0.324	-0.00416	0.589	0.70899	0	FF	AD
90	6	-0.555	-0.0101	0.368	0.93445	0	FF	AD
91	27	-0.0983	-0.00378	0.169	0.71962	0	FF	AD
93	26	0.0132	0.000498	0.152	0.4654	0	FF	AD
96	21	-0.0805	-0.00273	0.171	0.68122	0	FF	AD
105	2	-0.131	-0.00137	0.736	0.57065	0	FF	AD
121	9	-0.17	-0.00378	0.285	0.7251	0	FF	AD
140	9	0.112	0.00248	0.241	0.32188	0	FF	AD
148	11	0.124	0.00304	0.232	0.29669	0	FF	AD
152	21	0.122	0.00414	0.19	0.26048	0	FF	AD
170	5	-0.448	-0.00742	0.397	0.87063	0	FF	AD
174	18	-0.0827	-0.0026	0.184	0.67366	0	FF	AD
180	13	0.0518	0.00138	0.219	0.40664	0	FF	AD
201	28	-0.185	-0.00726	0.187	0.83905	0	FF	AD
202	30	-0.147	-0.00597	0.157	0.82633	0	FF	AD
206	3	0.215	0.00276	0.598	0.35931	0	FF	AD
215	32	-0.00518	-0.000217	0.139	0.51487	0	FF	AD
221	14	-0.24	-0.00663	0.238	0.84279	0	FF	AD
222	19	0.155	0.00501	0.226	0.24653	0	FF	AD
281	24	0.00931	0.000338	0.175	0.47875	0	FF	AD
306	3	-0.369	-0.00474	0.451	0.79354	0	FF	AD
307	34	-0.0495	-0.00214	0.146	0.63294	0	FF	AD
312	15	0.393	0.0113	0.199	0.024228	0	FF	AD
317	37	-0.107	-0.00481	0.136	0.78323	0	FF	AD
319	25	0.0241	0.000892	0.167	0.44258	0	FF	AD
337	13	0.392	0.0105	0.224	0.040081	0	FF	AD
338	19	-0.0215	-0.000695	0.163	0.55244	0	FF	AD
343	26	0.158	0.00598	0.19	0.20208	0	FF	AD
347	18	-0.0269	-0.000845	0.194	0.5553	0	FF	AD
353	30	0.183	0.00742	0.145	0.10294	0	FF	AD
363	12	0.275	0.00706	0.26	0.14465	0	FF	AD
369	16	-0.12	-0.00356	0.207	0.71933	0	FF	AD
371	23	-0.0502	-0.00178	0.173	0.61425	0	FF	AD
375	26	-0.118	-0.00445	0.159	0.7703	0	FF	AD
392	19	-0.058	-0.00187	0.166	0.63645	0	FF	AD
403	8	-0.224	-0.0047	0.281	0.78747	0	FF	AD
407	21	-0.0934	-0.00317	0.163	0.71631	0	FF	AD
419	29	-0.00991	-0.000395	0.157	0.52511	0	FF	AD
421	26	-0.0351	-0.00132	0.154	0.59004	0	FF	AD
439	20	-0.16	-0.00531	0.184	0.80851	0	FF	AD
451	23	0.0964	0.00342	0.166	0.2806	0	FF	AD
468	4	-0.712	-0.0105	0.513	0.91762	0	FF	AD
474	7	0.33	0.00646	0.306	0.1408	0	FF	AD
476	3	-0.203	-0.00261	0.446	0.67586	0	FF	AD
477	30	0.0599	0.00243	0.146	0.34035	0	FF	AD
487	7	-0.141	-0.00276	0.336	0.66236	0	FF	AD
489	15	-0.0228	-0.000653	0.211	0.54309	0	FF	AD
26	41	0.127	0.00599	0.137	0.177	0	FF	AD
2	31	0.196	0.0083	0.143	0.086062	0	CG	CARDIoGRAM
3	13	-0.266	-0.00732	0.215	0.89243	0	CG	CARDIoGRAM
8	12	-0.286	-0.00755	0.21	0.91323	0	CG	CARDIoGRAM
11	15	-0.237	-0.00699	0.228	0.8508	0	CG	CARDIoGRAM
13	11	0.25	0.00633	0.266	0.17334	0	CG	CARDIoGRAM
16	10	-0.117	-0.00282	0.255	0.67701	0	CG	CARDIoGRAM
19	17	0.0838	0.00263	0.197	0.33536	0	CG	CARDIoGRAM
23	22	0.116	0.00416	0.153	0.22364	0	CG	CARDIoGRAM
27	16	0.245	0.00747	0.197	0.10762	0	CG	CARDIoGRAM
30	22	-0.354	-0.0127	0.167	0.98284	0	CG	CARDIoGRAM
38	7	0.263	0.00531	0.322	0.20673	0	CG	CARDIoGRAM
40	15	0.413	0.0122	0.213	0.026069	0	CG	CARDIoGRAM
42	15	-0.453	-0.0134	0.209	0.98484	0	CG	CARDIoGRAM
46	12	-0.405	-0.0107	0.236	0.95693	0	CG	CARDIoGRAM
49	9	-0.517	-0.0118	0.286	0.96465	0	CG	CARDIoGRAM
61	14	0.0453	0.00129	0.269	0.43322	0	CG	CARDIoGRAM
74	7	-0.464	-0.00936	0.294	0.94257	0	CG	CARDIoGRAM
75	18	0.413	0.0133	0.17	0.007686	0	CG	CARDIoGRAM
78	7	-0.277	-0.00559	0.326	0.80266	0	CG	CARDIoGRAM
87	26	-0.211	-0.0082	0.149	0.92175	0	CG	CARDIoGRAM
88	26	-0.00223	-8.67e-05	0.146	0.50612	0	CG	CARDIoGRAM
89	23	0.00589	0.000215	0.15	0.48436	0	CG	CARDIoGRAM
106	20	0.155	0.00529	0.202	0.22167	0	CG	CARDIoGRAM
108	8	0.216	0.00466	0.29	0.22761	0	CG	CARDIoGRAM
111	20	-0.111	-0.00379	0.157	0.76001	0	CG	CARDIoGRAM
112	18	-0.167	-0.00541	0.198	0.8009	0	CG	CARDIoGRAM
113	16	-0.0595	-0.00182	0.182	0.62781	0	CG	CARDIoGRAM
116	29	-0.0218	-0.000895	0.139	0.56242	0	CG	CARDIoGRAM
117	11	-0.164	-0.00416	0.259	0.73701	0	CG	CARDIoGRAM
118	14	0.276	0.00788	0.223	0.10763	0	CG	CARDIoGRAM
119	8	-0.112	-0.00242	0.323	0.6362	0	CG	CARDIoGRAM
122	27	-0.000573	-2.27e-05	0.139	0.50165	0	CG	CARDIoGRAM
132	12	0.226	0.00599	0.248	0.18048	0	CG	CARDIoGRAM
134	17	0.0823	0.00259	0.202	0.34178	0	CG	CARDIoGRAM
147	9	0.359	0.00822	0.32	0.13057	0	CG	CARDIoGRAM
149	4	-0.312	-0.00477	0.429	0.76658	0	CG	CARDIoGRAM
150	3	0.0758	0.001	0.648	0.45343	0	CG	CARDIoGRAM
151	11	-0.0956	-0.00242	0.253	0.64703	0	CG	CARDIoGRAM
154	29	-0.247	-0.0102	0.151	0.94888	0	CG	CARDIoGRAM
158	26	0.0658	0.00256	0.169	0.34845	0	CG	CARDIoGRAM
171	8	0.297	0.0064	0.332	0.18596	0	CG	CARDIoGRAM
176	20	0.134	0.00456	0.172	0.21799	0	CG	CARDIoGRAM
187	21	-0.0355	-0.00124	0.188	0.57497	0	CG	CARDIoGRAM
188	9	-0.375	-0.00858	0.272	0.91569	0	CG	CARDIoGRAM
189	26	-0.045	-0.00175	0.162	0.60971	0	CG	CARDIoGRAM
194	22	0.22	0.00786	0.177	0.1074	0	CG	CARDIoGRAM
196	8	0.314	0.00677	0.336	0.17561	0	CG	CARDIoGRAM
200	9	0.0537	0.00123	0.238	0.41075	0	CG	CARDIoGRAM
207	20	-0.202	-0.00688	0.168	0.8852	0	CG	CARDIoGRAM
209	25	-0.0527	-0.00201	0.164	0.62619	0	CG	CARDIoGRAM
212	22	-0.032	-0.00115	0.161	0.57868	0	CG	CARDIoGRAM
213	25	-0.221	-0.00844	0.167	0.90747	0	CG	CARDIoGRAM
217	18	-0.0703	-0.00228	0.186	0.64734	0	CG	CARDIoGRAM
228	6	0.0396	0.00074	0.318	0.45041	0	CG	CARDIoGRAM
231	17	0.0802	0.00252	0.205	0.34799	0	CG	CARDIoGRAM
234	16	0.0613	0.00187	0.192	0.375	0	CG	CARDIoGRAM
237	15	-0.111	-0.00329	0.194	0.71759	0	CG	CARDIoGRAM
239	22	0.119	0.00427	0.174	0.24631	0	CG	CARDIoGRAM
240	7	-0.377	-0.0076	0.358	0.85349	0	CG	CARDIoGRAM
242	14	-0.355	-0.0101	0.209	0.95572	0	CG	CARDIoGRAM
249	9	-0.159	-0.00364	0.301	0.7017	0	CG	CARDIoGRAM
250	22	-0.172	-0.00615	0.183	0.82583	0	CG	CARDIoGRAM
251	7	0.0332	0.000671	0.32	0.45866	0	CG	CARDIoGRAM
257	18	0.0521	0.00168	0.193	0.39354	0	CG	CARDIoGRAM
259	10	0.0356	0.000858	0.255	0.44448	0	CG	CARDIoGRAM
262	8	0.268	0.00579	0.26	0.15101	0	CG	CARDIoGRAM
268	13	0.057	0.00157	0.234	0.40389	0	CG	CARDIoGRAM
270	9	0.0362	0.000829	0.22	0.43477	0	CG	CARDIoGRAM
271	25	-0.109	-0.00415	0.193	0.71404	0	CG	CARDIoGRAM
272	11	0.00608	0.000154	0.288	0.49159	0	CG	CARDIoGRAM
280	27	0.31	0.0123	0.145	0.016368	0	CG	CARDIoGRAM
282	11	-0.139	-0.00352	0.231	0.72596	0	CG	CARDIoGRAM
302	7	-0.185	-0.00374	0.372	0.6907	0	CG	CARDIoGRAM
309	11	-0.307	-0.00776	0.24	0.89899	0	CG	CARDIoGRAM
312	19	0.256	0.00852	0.162	0.057061	0	CG	CARDIoGRAM
327	17	-0.138	-0.00434	0.208	0.74689	0	CG	CARDIoGRAM
332	16	0.0414	0.00126	0.188	0.41276	0	CG	CARDIoGRAM
333	25	0.063	0.0024	0.151	0.33854	0	CG	CARDIoGRAM
334	16	-0.15	-0.00458	0.2	0.77372	0	CG	CARDIoGRAM
339	12	-0.302	-0.00798	0.234	0.90132	0	CG	CARDIoGRAM
341	11	0.157	0.00397	0.225	0.24219	0	CG	CARDIoGRAM
342	24	0.228	0.0085	0.162	0.079615	0	CG	CARDIoGRAM
359	7	0.122	0.00246	0.303	0.34338	0	CG	CARDIoGRAM
368	12	-0.053	-0.0014	0.283	0.5742	0	CG	CARDIoGRAM
369	11	0.161	0.00406	0.237	0.24939	0	CG	CARDIoGRAM
370	10	0.0503	0.00121	0.206	0.4033	0	CG	CARDIoGRAM
378	7	-0.141	-0.00284	0.309	0.67574	0	CG	CARDIoGRAM
380	31	0.113	0.00482	0.15	0.22415	0	CG	CARDIoGRAM
381	19	0.222	0.00739	0.194	0.12624	0	CG	CARDIoGRAM
383	14	-0.341	-0.00974	0.221	0.93885	0	CG	CARDIoGRAM
387	14	-0.188	-0.00537	0.23	0.79384	0	CG	CARDIoGRAM
389	12	-0.222	-0.00588	0.215	0.84911	0	CG	CARDIoGRAM
390	23	-0.0926	-0.00338	0.157	0.72181	0	CG	CARDIoGRAM
397	14	0.39	0.0111	0.245	0.055553	0	CG	CARDIoGRAM
402	20	-0.0134	-0.000458	0.176	0.53046	0	CG	CARDIoGRAM
405	22	-0.012	-0.000428	0.178	0.52676	0	CG	CARDIoGRAM
417	4	0.556	0.00849	0.509	0.13698	0	CG	CARDIoGRAM
419	28	-0.0719	-0.0029	0.15	0.68368	0	CG	CARDIoGRAM
420	10	-0.111	-0.00269	0.237	0.68079	0	CG	CARDIoGRAM
421	8	-0.558	-0.012	0.27	0.98068	0	CG	CARDIoGRAM
423	22	-0.0502	-0.0018	0.149	0.63185	0	CG	CARDIoGRAM
424	16	0.272	0.00829	0.171	0.056173	0	CG	CARDIoGRAM
431	5	-0.376	-0.00642	0.356	0.85482	0	CG	CARDIoGRAM
451	17	0.064	0.00201	0.187	0.36645	0	CG	CARDIoGRAM
454	25	-0.258	-0.00983	0.17	0.93533	0	CG	CARDIoGRAM
470	4	-0.323	-0.00493	0.533	0.72768	0	CG	CARDIoGRAM
477	20	-0.204	-0.00697	0.171	0.8839	0	CG	CARDIoGRAM
482	11	-0.0776	-0.00196	0.266	0.61488	0	CG	CARDIoGRAM
486	14	-0.142	-0.00404	0.208	0.75135	0	CG	CARDIoGRAM
491	15	0.334	0.00986	0.224	0.068411	0	CG	CARDIoGRAM
493	18	0.277	0.00895	0.191	0.073956	0	CG	CARDIoGRAM
28	14	-0.319	-0.00912	0.197	0.9472	0	FF	CARDIoGRAM
34	16	0.178	0.00542	0.24	0.22972	0	FF	CARDIoGRAM
50	9	0.375	0.00857	0.262	0.076186	0	FF	CARDIoGRAM
52	15	0.383	0.0113	0.226	0.044535	0	FF	CARDIoGRAM
61	30	-0.347	-0.0145	0.166	0.98169	0	FF	CARDIoGRAM
70	14	-0.0886	-0.00253	0.244	0.64167	0	FF	CARDIoGRAM
73	10	0.775	0.0187	0.294	0.0041744	0	FF	CARDIoGRAM
82	11	-0.244	-0.00618	0.233	0.85244	0	FF	CARDIoGRAM
84	3	0.526	0.00695	0.463	0.12806	0	FF	CARDIoGRAM
90	6	0.408	0.00762	0.36	0.12868	0	FF	CARDIoGRAM
91	25	-0.0985	-0.00376	0.17	0.71873	0	FF	CARDIoGRAM
93	24	0.0651	0.00243	0.171	0.35137	0	FF	CARDIoGRAM
96	20	0.115	0.00393	0.182	0.2633	0	FF	CARDIoGRAM
105	2	-0.00451	-4.86e-05	0.71	0.50253	0	FF	CARDIoGRAM
121	9	-0.0793	-0.00181	0.292	0.60715	0	FF	CARDIoGRAM
140	9	0.178	0.00407	0.257	0.24438	0	FF	CARDIoGRAM
148	10	0.108	0.00259	0.233	0.32225	0	FF	CARDIoGRAM
152	21	0.334	0.0117	0.181	0.032601	0	FF	CARDIoGRAM
170	5	0.462	0.00787	0.389	0.11742	0	FF	CARDIoGRAM
174	17	0.027	0.000848	0.185	0.44211	0	FF	CARDIoGRAM
180	13	0.131	0.00362	0.234	0.28712	0	FF	CARDIoGRAM
201	28	-0.0279	-0.00113	0.161	0.56878	0	FF	CARDIoGRAM
202	30	-0.24	-0.01	0.144	0.95196	0	FF	CARDIoGRAM
206	3	-0.0882	-0.00117	0.573	0.56115	0	FF	CARDIoGRAM
215	32	-0.168	-0.00726	0.144	0.87882	0	FF	CARDIoGRAM
221	14	0.155	0.00441	0.237	0.2572	0	FF	CARDIoGRAM
222	19	-0.189	-0.00629	0.206	0.82065	0	FF	CARDIoGRAM
281	22	-0.152	-0.00543	0.181	0.79955	0	FF	CARDIoGRAM
306	3	0.258	0.00341	0.533	0.3141	0	FF	CARDIoGRAM
307	34	0.0368	0.00163	0.136	0.39371	0	FF	CARDIoGRAM
312	14	-0.193	-0.0055	0.203	0.82873	0	FF	CARDIoGRAM
317	36	0.00257	0.000118	0.141	0.49271	0	FF	CARDIoGRAM
319	25	0.0721	0.00275	0.157	0.32354	0	FF	CARDIoGRAM
337	13	-0.326	-0.00898	0.233	0.91971	0	FF	CARDIoGRAM
338	19	0.147	0.0049	0.195	0.22462	0	FF	CARDIoGRAM
343	26	0.0667	0.0026	0.17	0.34756	0	FF	CARDIoGRAM
347	17	-0.259	-0.00814	0.227	0.87336	0	FF	CARDIoGRAM
353	28	-0.0679	-0.00274	0.145	0.67971	0	FF	CARDIoGRAM
363	10	0.466	0.0112	0.283	0.050186	0	FF	CARDIoGRAM
369	16	-0.139	-0.00424	0.197	0.76009	0	FF	CARDIoGRAM
371	23	0.376	0.0138	0.168	0.012572	0	FF	CARDIoGRAM
375	26	0.0409	0.00159	0.162	0.40015	0	FF	CARDIoGRAM
392	19	0.0376	0.00125	0.178	0.41642	0	FF	CARDIoGRAM
403	8	0.221	0.00477	0.324	0.24787	0	FF	CARDIoGRAM
407	20	-0.0392	-0.00134	0.198	0.57836	0	FF	CARDIoGRAM
419	27	0.0318	0.00126	0.152	0.41714	0	FF	CARDIoGRAM
421	25	0.332	0.0127	0.156	0.016467	0	FF	CARDIoGRAM
435	14	0.0559	0.00159	0.217	0.39847	0	FF	CARDIoGRAM
439	19	-0.162	-0.0054	0.174	0.82464	0	FF	CARDIoGRAM
451	23	0.011	0.000404	0.161	0.47265	0	FF	CARDIoGRAM
468	4	0.364	0.00555	0.498	0.23273	0	FF	CARDIoGRAM
474	6	0.644	0.012	0.357	0.035727	0	FF	CARDIoGRAM
476	3	0.22	0.00291	0.523	0.33668	0	FF	CARDIoGRAM
477	30	-0.184	-0.0077	0.147	0.89505	0	FF	CARDIoGRAM
487	7	0.111	0.00223	0.357	0.3783	0	FF	CARDIoGRAM
489	15	0.115	0.00341	0.209	0.29025	0	FF	CARDIoGRAM
26	39	-0.00171	-8.12e-05	0.134	0.50508	0	FF	CARDIoGRAM
2	31	-0.111	-0.00458	0.161	0.75418	0	CG	DS
3	14	-0.137	-0.00382	0.241	0.71549	0	CG	DS
8	12	-0.148	-0.00381	0.211	0.75814	0	CG	DS
11	15	-0.192	-0.00553	0.19	0.8446	0	CG	DS
13	12	0.101	0.00259	0.231	0.33202	0	CG	DS
16	11	-0.325	-0.008	0.208	0.94113	0	CG	DS
19	17	-0.0133	-0.000406	0.199	0.52658	0	CG	DS
23	23	-0.119	-0.00423	0.156	0.77698	0	CG	DS
27	16	0.131	0.0039	0.178	0.22963	0	CG	DS
30	23	-0.249	-0.00885	0.176	0.92066	0	CG	DS
38	7	-0.407	-0.00799	0.314	0.90227	0	CG	DS
40	15	-0.104	-0.00299	0.21	0.68966	0	CG	DS
42	16	0.177	0.00525	0.225	0.21644	0	CG	DS
46	12	0.0644	0.00166	0.218	0.38364	0	CG	DS
49	10	-0.128	-0.003	0.241	0.70164	0	CG	DS
61	15	-0.011	-0.000315	0.215	0.52036	0	CG	DS
74	7	-0.151	-0.00297	0.283	0.70376	0	CG	DS
75	18	-0.0253	-0.000797	0.188	0.55361	0	CG	DS
78	7	-0.235	-0.00462	0.263	0.8142	0	CG	DS
87	26	-0.367	-0.0139	0.162	0.98851	0	CG	DS
88	28	-0.174	-0.00683	0.145	0.88506	0	CG	DS
89	24	0.00897	0.000326	0.139	0.47422	0	CG	DS
106	21	-0.0409	-0.00139	0.183	0.58838	0	CG	DS
108	9	-0.482	-0.0107	0.265	0.96541	0	CG	DS
111	21	-0.171	-0.00581	0.169	0.84432	0	CG	DS
112	19	0.292	0.00946	0.193	0.064883	0	CG	DS
113	16	-0.0824	-0.00245	0.191	0.66733	0	CG	DS
116	29	-0.388	-0.0155	0.142	0.99685	0	CG	DS
117	11	-0.00142	-3.5e-05	0.266	0.50214	0	CG	DS
118	14	0.0571	0.00158	0.213	0.39425	0	CG	DS
119	9	0.347	0.00773	0.327	0.14407	0	CG	DS
122	27	-0.0978	-0.00377	0.144	0.75156	0	CG	DS
132	12	-0.184	-0.00473	0.242	0.77591	0	CG	DS
134	19	0.00477	0.000154	0.177	0.48923	0	CG	DS
147	10	0.193	0.00454	0.291	0.25297	0	CG	DS
149	4	-0.374	-0.00555	0.441	0.80161	0	CG	DS
150	3	-0.183	-0.00235	0.378	0.68586	0	CG	DS
151	11	0.0215	0.000528	0.269	0.46818	0	CG	DS
154	29	-0.343	-0.0137	0.142	0.99227	0	CG	DS
158	26	0.0979	0.0037	0.161	0.27094	0	CG	DS
171	9	0.152	0.00338	0.295	0.30345	0	CG	DS
176	20	-0.36	-0.0119	0.177	0.97882	0	CG	DS
187	22	0.0445	0.00155	0.171	0.39764	0	CG	DS
188	10	-0.0774	-0.00182	0.267	0.61418	0	CG	DS
189	27	0.0112	0.000433	0.156	0.47134	0	CG	DS
194	22	-0.0312	-0.00109	0.162	0.57612	0	CG	DS
196	9	-0.089	-0.00198	0.295	0.61863	0	CG	DS
200	9	0.0828	0.00184	0.219	0.35246	0	CG	DS
207	20	0.0155	0.000513	0.172	0.46409	0	CG	DS
209	27	-0.23	-0.00886	0.151	0.93661	0	CG	DS
212	22	0.0553	0.00193	0.158	0.36303	0	CG	DS
213	25	-0.165	-0.00612	0.148	0.86765	0	CG	DS
217	19	-0.126	-0.00408	0.204	0.73176	0	CG	DS
228	6	-0.677	-0.0123	0.442	0.9371	0	CG	DS
231	20	-0.456	-0.0151	0.188	0.99238	0	CG	DS
234	17	0.0233	0.000712	0.185	0.44981	0	CG	DS
237	16	0.352	0.0105	0.217	0.05199	0	CG	DS
239	23	-0.319	-0.0114	0.176	0.96545	0	CG	DS
240	7	0.154	0.00303	0.313	0.31109	0	CG	DS
242	14	-0.329	-0.00915	0.191	0.95813	0	CG	DS
249	9	-0.0234	-0.000521	0.328	0.52846	0	CG	DS
250	23	-0.00875	-0.000311	0.181	0.51929	0	CG	DS
251	9	0.326	0.00726	0.247	0.093523	0	CG	DS
257	18	0.153	0.00483	0.202	0.22354	0	CG	DS
