COMPONENT	NUMBER OF GENES	BETA	BETA_STD	SE	P	BONFERONNI	DATASET	DISEASE_NAME
435	14	0.598	0.0166	0.191	0.00089155	1	FF	AD
132	12	1.78	0.0471	0.303	2.0338e-09	1	CG	GIANT_BMI_HEIGHT
222	19	0.764	0.0248	0.243	0.00082679	1	FF	RA
240	7	1.47	0.03	0.358	1.8806e-05	1	CG	SWB
251	8	1.16	0.025	0.298	5.114e-05	1	CG	HDL
2	31	0.208	0.00855	0.157	0.09282	0	CG	AD
3	14	0.014	0.000388	0.25	0.47763	0	CG	AD
8	12	-0.0899	-0.0023	0.215	0.66192	0	CG	AD
11	15	0.0147	0.000422	0.204	0.4712	0	CG	AD
13	12	-0.032	-0.00082	0.261	0.54882	0	CG	AD
16	11	-0.0599	-0.00147	0.233	0.60142	0	CG	AD
19	17	-0.365	-0.0111	0.183	0.97686	0	CG	AD
23	23	0.015	0.000533	0.182	0.46713	0	CG	AD
27	16	0.254	0.00753	0.196	0.097247	0	CG	AD
30	23	0.00472	0.000168	0.172	0.48908	0	CG	AD
38	7	-0.589	-0.0115	0.332	0.9617	0	CG	AD
40	15	0.00227	6.52e-05	0.23	0.49606	0	CG	AD
42	16	-0.245	-0.00724	0.241	0.84446	0	CG	AD
46	12	-0.248	-0.00636	0.225	0.86437	0	CG	AD
49	10	0.163	0.00381	0.265	0.26946	0	CG	AD
61	15	-0.0277	-0.000795	0.252	0.54372	0	CG	AD
74	7	-0.165	-0.00324	0.327	0.69331	0	CG	AD
75	18	0.0634	0.00199	0.185	0.36613	0	CG	AD
78	7	0.289	0.00567	0.345	0.20066	0	CG	AD
87	26	0.122	0.0046	0.154	0.21376	0	CG	AD
88	28	0.00432	0.000169	0.144	0.48802	0	CG	AD
89	24	-0.0622	-0.00226	0.149	0.66134	0	CG	AD
106	22	-0.125	-0.00433	0.187	0.74728	0	CG	AD
108	9	0.103	0.00229	0.283	0.35762	0	CG	AD
111	21	-0.0989	-0.00335	0.166	0.72484	0	CG	AD
112	19	0.127	0.00409	0.19	0.25254	0	CG	AD
113	16	-0.0122	-0.000361	0.208	0.52334	0	CG	AD
116	29	0.119	0.00475	0.138	0.19321	0	CG	AD
117	11	-0.535	-0.0131	0.271	0.97582	0	CG	AD
118	14	-0.235	-0.00651	0.234	0.8429	0	CG	AD
119	9	-0.15	-0.00332	0.247	0.72768	0	CG	AD
122	27	0.0363	0.0014	0.147	0.40222	0	CG	AD
132	12	0.194	0.00498	0.226	0.1947	0	CG	AD
134	19	0.122	0.00394	0.195	0.26511	0	CG	AD
147	10	0.106	0.00249	0.311	0.3665	0	CG	AD
149	4	-0.167	-0.00248	0.484	0.63507	0	CG	AD
150	3	0.138	0.00177	0.687	0.42027	0	CG	AD
151	11	-0.0765	-0.00188	0.25	0.62045	0	CG	AD
154	29	0.0711	0.00283	0.149	0.31624	0	CG	AD
158	26	0.0466	0.00176	0.171	0.39282	0	CG	AD
171	9	-0.0806	-0.00179	0.317	0.60043	0	CG	AD
176	20	-0.0612	-0.00203	0.183	0.63093	0	CG	AD
187	22	0.0892	0.0031	0.175	0.30496	0	CG	AD
188	10	0.392	0.00918	0.281	0.08157	0	CG	AD
189	27	-0.199	-0.00764	0.162	0.89033	0	CG	AD
194	22	-0.237	-0.00824	0.172	0.91558	0	CG	AD
196	9	-0.129	-0.00288	0.317	0.65856	0	CG	AD
200	9	-0.167	-0.00371	0.222	0.77467	0	CG	AD
207	20	0.112	0.00372	0.184	0.27113	0	CG	AD
209	27	-0.0431	-0.00166	0.155	0.60929	0	CG	AD
212	22	-0.26	-0.00903	0.168	0.93969	0	CG	AD
213	25	0.202	0.00746	0.165	0.11062	0	CG	AD
217	19	0.102	0.00328	0.194	0.30057	0	CG	AD
228	6	0.479	0.0087	0.412	0.12241	0	CG	AD
231	20	0.0759	0.00251	0.182	0.33818	0	CG	AD
234	17	0.00798	0.000243	0.203	0.48431	0	CG	AD
237	16	0.047	0.00139	0.236	0.42098	0	CG	AD
239	23	-0.146	-0.00517	0.187	0.78168	0	CG	AD
240	7	-0.28	-0.00548	0.34	0.79467	0	CG	AD
242	14	0.3	0.0083	0.219	0.085668	0	CG	AD
249	9	-0.0635	-0.00141	0.314	0.58014	0	CG	AD
250	23	-0.326	-0.0116	0.198	0.95057	0	CG	AD
251	9	0.298	0.00662	0.267	0.13212	0	CG	AD
257	18	-0.0215	-0.000677	0.21	0.54082	0	CG	AD
259	11	0.0411	0.00101	0.255	0.4359	0	CG	AD
262	10	0.106	0.00247	0.285	0.35525	0	CG	AD
268	14	-0.0848	-0.00235	0.225	0.64696	0	CG	AD
270	9	0.118	0.00262	0.25	0.31864	0	CG	AD
271	25	-0.00336	-0.000124	0.175	0.50769	0	CG	AD
272	11	0.0959	0.00236	0.265	0.35865	0	CG	AD
280	27	-0.105	-0.00405	0.153	0.75497	0	CG	AD
282	11	0.175	0.00429	0.211	0.20368	0	CG	AD
302	7	0.486	0.00953	0.397	0.11012	0	CG	AD
309	12	-0.0509	-0.00131	0.277	0.57285	0	CG	AD
312	19	0.0863	0.00278	0.187	0.32195	0	CG	AD
327	18	-0.313	-0.00984	0.204	0.93736	0	CG	AD
332	16	-0.0723	-0.00214	0.185	0.65245	0	CG	AD
333	26	-0.229	-0.00862	0.157	0.92706	0	CG	AD
334	17	-0.372	-0.0114	0.185	0.97762	0	CG	AD
339	12	0.0934	0.0024	0.233	0.34418	0	CG	AD
341	11	-0.406	-0.00996	0.219	0.9682	0	CG	AD
342	25	-0.109	-0.00402	0.171	0.7381	0	CG	AD
359	9	-0.403	-0.00895	0.295	0.91423	0	CG	AD
368	13	-0.107	-0.00287	0.248	0.66739	0	CG	AD
369	12	-0.076	-0.00195	0.229	0.63032	0	CG	AD
370	10	0.0525	0.00123	0.226	0.40814	0	CG	AD
378	7	-0.359	-0.00703	0.319	0.86967	0	CG	AD
380	31	-0.155	-0.00638	0.155	0.84104	0	CG	AD
381	19	-0.155	-0.00499	0.207	0.77211	0	CG	AD
383	15	-0.381	-0.0109	0.214	0.96291	0	CG	AD
387	14	0.00519	0.000144	0.241	0.4914	0	CG	AD
389	15	-0.14	-0.00401	0.228	0.73064	0	CG	AD
390	23	0.171	0.00607	0.172	0.16083	0	CG	AD
397	14	0.236	0.00653	0.235	0.15845	0	CG	AD
402	20	-0.114	-0.00378	0.223	0.69607	0	CG	AD
405	23	-0.0967	-0.00343	0.184	0.69999	0	CG	AD
417	4	0.229	0.00339	0.536	0.33461	0	CG	AD
419	29	-0.102	-0.00407	0.158	0.74135	0	CG	AD
420	10	0.029	0.00068	0.268	0.45692	0	CG	AD
